Number of documents of the corpus: 15397
Number of words of the corpus: 6957
Word:apocalypt Frec:8 LogProb:-10.372014397427991
Word:apolog Frec:6 LogProb:-10.623328825708898
Word:apologis Frec:3 LogProb:-11.18294461364432
Word:app Frec:64 LogProb:-8.394851704868573
Word:appal Frec:22 LogProb:-9.433744758835061
Word:appar Frec:54 LogProb:-8.56190578953174
Word:apparel Frec:5 LogProb:-10.777479505536157
Word:appeal Frec:17 LogProb:-9.678867216868046
Word:appear Frec:50 LogProb:-8.637413342039885
Word:appetit Frec:5 LogProb:-10.777479505536157
Word:appl Frec:19 LogProb:-9.57350670121022
Word:applaus Frec:2 LogProb:-11.470626686096102
Word:appli Frec:30 LogProb:-9.135251770279066
Word:applic Frec:9 LogProb:-10.266653881770166
Word:appoint Frec:15 LogProb:-9.79665025252443
Word:appreci Frec:19 LogProb:-9.57350670121022
Word:approach Frec:26 LogProb:-9.273402108759882
Word:appropri Frec:13 LogProb:-9.930181645148952
Word:approv Frec:25 LogProb:-9.31114243674273
Word:approx Frec:3 LogProb:-11.18294461364432
Word:approxim Frec:7 LogProb:-10.489797433084375
Word:apr Frec:7 LogProb:-10.489797433084375
Word:april Frec:98 LogProb:-7.974119124629621
Word:apron Frec:2 LogProb:-11.470626686096102
Word:aquarium Frec:2 LogProb:-11.470626686096102
Word:arab Frec:10 LogProb:-10.17134370196584
Word:arabia Frec:81 LogProb:-8.162519727499959
Word:arabian Frec:4 LogProb:-10.959801062330111
Word:arad Frec:2 LogProb:-11.470626686096102
Word:aramco Frec:2 LogProb:-11.470626686096102
Word:arbitr Frec:2 LogProb:-11.470626686096102
Word:arbitrari Frec:2 LogProb:-11.470626686096102
Word:arc Frec:2 LogProb:-11.470626686096102
Word:arch Frec:5 LogProb:-10.777479505536157
Word:architect Frec:3 LogProb:-11.18294461364432
Word:ard Frec:3 LogProb:-11.18294461364432
Word:are Frec:67 LogProb:-8.349731269588105
Word:area Frec:148 LogProb:-7.565292668818752
Word:aren't Frec:40 LogProb:-8.855666908059904
Word:argentina Frec:3 LogProb:-11.18294461364432
Word:argo Frec:8 LogProb:-10.372014397427991
Word:argu Frec:29 LogProb:-9.168041593102055
Word:arguabl Frec:2 LogProb:-11.470626686096102
Word:argument Frec:6 LogProb:-10.623328825708898
Word:aris Frec:9 LogProb:-10.266653881770166
Word:arizona Frec:10 LogProb:-10.17134370196584
Word:arkansa Frec:8 LogProb:-10.372014397427991
Word:arm Frec:33 LogProb:-9.04287845014805
Word:armi Frec:30 LogProb:-9.135251770279066
Word:around Frec:323 LogProb:-6.788495458971882
Word:arr Frec:2 LogProb:-11.470626686096102
Word:arrang Frec:12 LogProb:-10.004289617302675
