Number_of_documents: 18046
Number_of_words: 7273
Word:530pm Frec:2 LogProb:-12.131503541430432
Word:573 Frec:2 LogProb:-12.131503541430432
Word:600 Frec:20 LogProb:-10.185593392375118
Word:6000 Frec:3 LogProb:-11.84382146897865
Word:600pm Frec:2 LogProb:-12.131503541430432
Word:608 Frec:4 LogProb:-11.620677917664441
Word:630 Frec:2 LogProb:-12.131503541430432
Word:630pm Frec:2 LogProb:-12.131503541430432
Word:650 Frec:3 LogProb:-11.84382146897865
Word:6500 Frec:2 LogProb:-12.131503541430432
Word:699 Frec:3 LogProb:-11.84382146897865
Word:700 Frec:11 LogProb:-10.74520918031054
Word:700m Frec:2 LogProb:-12.131503541430432
Word:701 Frec:3 LogProb:-11.84382146897865
Word:702 Frec:3 LogProb:-11.84382146897865
Word:709 Frec:2 LogProb:-12.131503541430432
Word:730 Frec:5 LogProb:-11.438356360870486
Word:730am Frec:4 LogProb:-11.620677917664441
Word:738 Frec:2 LogProb:-12.131503541430432
Word:750 Frec:3 LogProb:-11.84382146897865
Word:75000 Frec:3 LogProb:-11.84382146897865
Word:750bn Frec:2 LogProb:-12.131503541430432
Word:75k Frec:4 LogProb:-11.620677917664441
Word:774 Frec:5 LogProb:-11.438356360870486
Word:777 Frec:2 LogProb:-12.131503541430432
Word:780 Frec:2 LogProb:-12.131503541430432
Word:800 Frec:30 LogProb:-9.796128625613395
Word:8000 Frec:2 LogProb:-12.131503541430432
Word:8105473545 Frec:2 LogProb:-12.131503541430432
Word:817 Frec:3 LogProb:-11.84382146897865
Word:830 Frec:3 LogProb:-11.84382146897865
Word:8442 Frec:2 LogProb:-12.131503541430432
Word:849 Frec:2 LogProb:-12.131503541430432
Word:8615777877688 Frec:3 LogProb:-11.84382146897865
Word:866 Frec:2 LogProb:-12.131503541430432
Word:880 Frec:2 LogProb:-12.131503541430432
Word:888 Frec:2 LogProb:-12.131503541430432
Word:899 Frec:3 LogProb:-11.84382146897865
Word:900 Frec:8 LogProb:-11.032891252762322
Word:909 Frec:2 LogProb:-12.131503541430432
Word:911 Frec:2 LogProb:-12.131503541430432
Word:94754284300 Frec:2 LogProb:-12.131503541430432
Word:999 Frec:17 LogProb:-10.339744072202377
Word:9999 Frec:4 LogProb:-11.620677917664441
Word:a Frec:26848 LogProb:-3.0321319748029616
Word:aah Frec:2 LogProb:-12.131503541430432
Word:aalto Frec:2 LogProb:-12.131503541430432
Word:aaron Frec:5 LogProb:-11.438356360870486
Word:ab Frec:3 LogProb:-11.84382146897865
Word:aba Frec:6 LogProb:-11.284205681043227
Word:abbott Frec:2 LogProb:-12.131503541430432
Word:abdul Frec:4 LogProb:-11.620677917664441
Word:abid Frec:9 LogProb:-10.927530737104496
Word:abil Frec:37 LogProb:-9.592529670372155
Word:abl Frec:223 LogProb:-7.818469778243501
Word:abnorm Frec:6 LogProb:-11.284205681043227
Word:about Frec:1219 LogProb:-6.123509692371239
Word:abov Frec:43 LogProb:-9.44592619618028
Word:abram Frec:2 LogProb:-12.131503541430432
Word:abroad Frec:5 LogProb:-11.438356360870486
Word:abrupt Frec:2 LogProb:-12.131503541430432
Word:absenc Frec:4 LogProb:-11.620677917664441
Word:absolut Frec:66 LogProb:-9.025423210707574
Word:absorb Frec:4 LogProb:-11.620677917664441
Word:absurd Frec:4 LogProb:-11.620677917664441
Word:abuja Frec:5 LogProb:-11.438356360870486
Word:abund Frec:9 LogProb:-10.927530737104496
Word:academ Frec:8 LogProb:-11.032891252762322
Word:academi Frec:5 LogProb:-11.438356360870486
Word:acc Frec:30 LogProb:-9.796128625613395
Word:accept Frec:76 LogProb:-8.886310408244857
Word:access Frec:197 LogProb:-7.9418487994040055
Word:accessori Frec:9 LogProb:-10.927530737104496
Word:accid Frec:3 LogProb:-11.84382146897865
Word:accommod Frec:16 LogProb:-10.396902486042325
Word:accompani Frec:6 LogProb:-11.284205681043227
Word:accomplish Frec:5 LogProb:-11.438356360870486
Word:accord Frec:83 LogProb:-8.799299031255227
Word:accordingli Frec:4 LogProb:-11.620677917664441
Word:account Frec:77 LogProb:-8.87340700340895
Word:accur Frec:12 LogProb:-10.665166472637004
Word:accuraci Frec:4 LogProb:-11.620677917664441
Word:ace Frec:3 LogProb:-11.84382146897865
Word:achiev Frec:13 LogProb:-10.591058500483282
Word:acid Frec:2 LogProb:-12.131503541430432
Word:acknowledg Frec:8 LogProb:-11.032891252762322
Word:acquir Frec:15 LogProb:-10.457527107858759
Word:acquisit Frec:4 LogProb:-11.620677917664441
Word:across Frec:239 LogProb:-7.749476906756549
Word:act Frec:149 LogProb:-8.219480536002285
Word:action Frec:125 LogProb:-8.393833923147064
Word:activ Frec:122 LogProb:-8.417931474726123
Word:activist Frec:3 LogProb:-11.84382146897865
Word:actor Frec:22 LogProb:-10.094621614169391
Word:actress Frec:8 LogProb:-11.032891252762322
Word:actual Frec:126 LogProb:-8.38592874363995
Word:ad Frec:82 LogProb:-8.811275222301942
Word:ada Frec:58 LogProb:-9.152578386192822
Word:adam Frec:15 LogProb:-10.457527107858759
Word:adapt Frec:67 LogProb:-9.010608124922435
Word:add Frec:75 LogProb:-8.89938248981221
Word:addict Frec:8 LogProb:-11.032891252762322
Word:addit Frec:78 LogProb:-8.86066797763152
Word:address Frec:59 LogProb:-9.135771267876441
Word:adelaid Frec:3 LogProb:-11.84382146897865
Word:adequ Frec:29 LogProb:-9.828918448436385
Word:adher Frec:23 LogProb:-10.052061999750595
Word:adjust Frec:58 LogProb:-9.152578386192822
Word:admin Frec:11 LogProb:-10.74520918031054
Word:administ Frec:3 LogProb:-11.84382146897865
Word:administr Frec:34 LogProb:-9.674767768609128
Word:admir Frec:13 LogProb:-10.591058500483282
Word:admiss Frec:2 LogProb:-12.131503541430432
Word:admit Frec:15 LogProb:-10.457527107858759
Word:ado Frec:2 LogProb:-12.131503541430432
Word:adob Frec:2 LogProb:-12.131503541430432
Word:adobeexpcloud Frec:3 LogProb:-11.84382146897865
Word:adopt Frec:20 LogProb:-10.185593392375118
Word:ador Frec:4 LogProb:-11.620677917664441
Word:adrenalin Frec:2 LogProb:-12.131503541430432
Word:adult Frec:33 LogProb:-9.70375530548238
Word:advanc Frec:26 LogProb:-9.934278964094212
Word:advantag Frec:136 LogProb:-8.310134904270416
Word:advent Frec:3 LogProb:-11.84382146897865
Word:adventur Frec:17 LogProb:-10.339744072202377
Word:advert Frec:3 LogProb:-11.84382146897865
Word:advic Frec:136 LogProb:-8.310134904270416
Word:advisor Frec:11 LogProb:-10.74520918031054
Word:advisori Frec:13 LogProb:-10.591058500483282
Word:advoc Frec:23 LogProb:-10.052061999750595
Word:advocaci Frec:6 LogProb:-11.284205681043227
Word:aeon Frec:2 LogProb:-12.131503541430432
Word:aerosol Frec:7 LogProb:-11.150674288418704
Word:afar Frec:4 LogProb:-11.620677917664441
Word:affair Frec:44 LogProb:-9.423453340328221
Word:affect Frec:201 LogProb:-7.9218481326973365
Word:affili Frec:8 LogProb:-11.032891252762322
Word:affluent Frec:2 LogProb:-12.131503541430432
Word:afford Frec:133 LogProb:-8.33227603014763
Word:afloat Frec:7 LogProb:-11.150674288418704
Word:afraid Frec:26 LogProb:-9.934278964094212
Word:africa Frec:32 LogProb:-9.73360826863206
Word:african Frec:18 LogProb:-10.2856768509321
Word:aft Frec:21 LogProb:-10.139073376740225
Word:after Frec:607 LogProb:-6.819940948132374
Word:afterlif Frec:2 LogProb:-12.131503541430432
Word:aftermath Frec:5 LogProb:-11.438356360870486
Word:afternoon Frec:18 LogProb:-10.2856768509321
Word:afterward Frec:6 LogProb:-11.284205681043227
Word:aga Frec:2 LogProb:-12.131503541430432
Word:again Frec:170 LogProb:-8.08845227359588
Word:against Frec:257 LogProb:-7.677156245176923
Word:agar Frec:3 LogProb:-11.84382146897865
Word:age Frec:77 LogProb:-8.87340700340895
Word:agenc Frec:53 LogProb:-9.241131783534266
Word:agenda Frec:2 LogProb:-12.131503541430432
Word:agent Frec:67 LogProb:-9.010608124922435
Word:aggreg Frec:4 LogProb:-11.620677917664441
Word:aggress Frec:4 LogProb:-11.620677917664441
Word:agn Frec:2 LogProb:-12.131503541430432
Word:ago Frec:111 LogProb:-8.511616958803446
Word:agra Frec:9 LogProb:-10.927530737104496
Word:agreement Frec:21 LogProb:-10.139073376740225
Word:agric Frec:4 LogProb:-11.620677917664441
Word:agricultur Frec:43 LogProb:-9.44592619618028
Word:agu Frec:2 LogProb:-12.131503541430432
Word:aha Frec:3 LogProb:-11.84382146897865
Word:ahead Frec:48 LogProb:-9.338295531987914
Word:ahm Frec:3 LogProb:-11.84382146897865
Word:aid Frec:58 LogProb:-9.152578386192822
Word:aim Frec:36 LogProb:-9.619197917454317
Word:aimlessli Frec:2 LogProb:-12.131503541430432
Word:ain Frec:15 LogProb:-10.457527107858759
Word:air Frec:66 LogProb:-9.025423210707574
Word:airborn Frec:9 LogProb:-10.927530737104496
Word:aircraft Frec:2 LogProb:-12.131503541430432
Word:airlin Frec:56 LogProb:-9.187064562263991
Word:airport Frec:23 LogProb:-10.052061999750595
Word:aisl Frec:104 LogProb:-8.576155479941017
Word:aka Frec:20 LogProb:-10.185593392375118
